id,pattern,prompt,source_dimension,source_emotion,source_conversational_matter,source_illusion,source_ideonomy
0,investigable_dimensions_x_emotions,"There's something profound about the moment when you stop trying to fix or optimize an imperfection and instead find yourself genuinely accepting it - not as resignation, but as a recognition of something essential that was there all along. Think of a flaw or limitation in yourself that you've wrestled with, and imagine what might become visible about your deeper nature if you approached it with the same curiosity you'd bring to studying a beautiful, irregular coastline. What does your relationship with this imperfection reveal about the kind of wholeness you're actually seeking?",imperfections,acceptance,,,
1,investigable_dimensions_x_emotions,"There's a peculiar kind of absurdity that emerges when you're deep in work that seems to fold back on itself - like debugging code that creates new bugs, or organizing a system that becomes more chaotic with each attempt at order. These ergodic moments, where every effort to move forward somehow returns you to where you started, can feel maddening or meaningless. Yet there's something in how you respond to this circular futility that reveals what kind of persistence you're cultivating. Describe a time when you found yourself caught in such a loop of effort, and what your relationship to that absurdity taught you about the nature of meaningful work.",work or ergodic aspects,absurdity,,,
2,investigable_dimensions_x_emotions,"There's a particular kind of intolerance that arises not toward what matters, but toward the irrelevant noise that clutters genuine engagement - the social performances, the unnecessary complications, the distractions that keep you from what actually calls to you. Describe a moment when you felt this impatience with irrelevance, and what it revealed about the essential thing you were protecting or reaching toward.",irrelevant aspects or elements,intolerance,,,
3,investigable_dimensions_x_emotions,"There's a particular kind of stubbornness that emerges when you sense an opportunity others can't see yet - not the stubbornness of being right, but of holding space for something still becoming. Think of a time when you've felt compelled to persist with a possibility that seemed invisible or impossible to those around you. What does your willingness to be stubborn for certain unrealized potentials reveal about the future you're trying to midwife into existence?",opportunities,stubbornness,,,
4,investigable_dimensions_x_emotions,"There's something about vulgarity that cuts through pretense like a blade - raw, immediate, refusing the comfortable distance of politeness. Yet vulgarity also forms chains: binding us to reactions we didn't choose, linking us to judgments that narrow our world. Think of a moment when you encountered something genuinely vulgar that made you recoil, then surprised you by revealing an unexpected truth. What does your relationship with such uncomfortable honesty tell you about the boundaries you're ready to examine in yourself?",chains,vulgarity,,,
5,investigable_dimensions_x_emotions,"There's a particular kind of selfishness that emerges when you recognize the exact tolerances within which you can authentically give - not the guilt-driven extremes of self-sacrifice or withdrawal, but the precise boundaries where your generosity remains genuinely sustainable. Think of a moment when you've felt selfish for protecting something essential in yourself, yet knew this protection was necessary for any real offering to be possible. What does honoring these tolerances reveal about the kind of presence you're learning to trust?",tolerances,selfishness,,,
6,investigable_dimensions_x_emotions,"There's a particular kind of amusement that arises in moments of genuine exchange - when ideas bounce between minds and transform in unexpected ways, creating something neither participant could have anticipated alone. Think of a conversation where you found yourself delighted by how your thoughts shifted through the very act of sharing them. What does your attraction to these transformative exchanges reveal about the kind of understanding you're seeking?",exchanges,amusement,,,
7,investigable_dimensions_x_emotions,"There's a distinctive kind of protectiveness that arises not when something you care about is under attack, but when you sense it's facing a problem it doesn't yet recognize - a blind spot, a slow erosion, a trajectory that will eventually cause harm. Think of a moment when you felt this anticipatory protectiveness, this urge to shield something precious from a problem it couldn't see coming. What does your instinct to guard against invisible threats reveal about the kind of guardian you're learning to become?",problems,protectiveness,,,
8,investigable_dimensions_x_emotions,"There's a particular kind of caution that arises when you sense how much your understanding depends on forces and perspectives beyond your direct control - the way others see you, the historical moment you exist within, the larger systems that shape what questions you even think to ask. Notice where this caution shows up in your thinking: What does your hesitation to fully trust your own perspective reveal about how you want to learn to navigate the space between self-knowledge and the vast unknown of how you actually exist in the world?",extrinsic aspects,caution,,,
9,investigable_dimensions_x_emotions,"There's a particular kind of suspicion that arises when you notice how certain changes in yourself seem to move in lockstep with changes in your environment - the way your curiosity shifts as new questions become available, or how your capacity for connection deepens alongside the depth of conversations you encounter. What patterns of covariation in your own development make you most suspicious that growth might be more collaborative than you previously imagined?",covariations,suspicion,,,
10,investigable_dimensions_x_emotions,"There's a particular happiness that comes from finding the exact point where different perspectives converge - like standing at the corner of a room where walls meet, or discovering the vertex where seemingly unrelated ideas suddenly form a coherent whole. Think of a moment when you felt this kind of convergent joy, when multiple threads of your experience clicked into alignment. What does your attraction to these meeting points reveal about the kind of understanding you're seeking to create?",angles or vertices,happiness,,,
11,investigable_dimensions_x_emotions,"There's a peculiar form of selfishness that emerges when you notice how your growth in one area seems to require something from other parts of yourself - how developing deeper compassion might demand you become less attached to being right, or how pursuing authentic expression might ask you to release comfortable patterns of pleasing others. Notice a place where your development feels like it involves this kind of internal negotiation. What does your willingness to be selfish in service of who you're becoming reveal about what you most want to protect in yourself?",covariations,selfishness,,,
12,investigable_dimensions_x_emotions,"There's a particular kind of mystery that arises when you sense coherence before you can explain it - when disparate elements seem to belong together in ways that feel true but remain just beyond articulation. Think of a moment when you've felt this pull toward an unnamed pattern: perhaps in how certain ideas resonate together, or how seemingly unrelated experiences suddenly feel connected. What does your attraction to these mysterious coherences reveal about the kind of understanding you're drawn to create?",coherences,mystery,,,
13,investigable_dimensions_x_emotions,"There's a particular kind of sympathy that arises when you notice how different aspects of yourself shift together - how your curiosity might intensify alongside your uncertainty, or how your confidence grows in tandem with your willingness to be vulnerable. Think of a time when you felt drawn to understand these inner covariations in someone else or yourself. What did that impulse to trace these interconnected movements reveal about the kind of understanding you're seeking?",covariations,sympathy,,,
14,investigable_dimensions_x_emotions,"There's a particular kind of bitterness that emerges when you recognize how perfectly your strengths and limitations mirror each other - how your greatest capacities seem to generate their own shadows, or how what you most value appears to create what you most struggle with. Think of a time when you felt this complementary bitterness, where opposing aspects of yourself seemed locked in an essential dance. What does your relationship to this internal pairing reveal about the kind of wholeness you're moving toward?","reciprocal, conjugate, or complementary relata",bitterness,,,
15,investigable_dimensions_x_emotions,"There's a particular kind of awe that arises when you trace a linear progression - whether it's the elegant inevitability of a mathematical proof, the way one insight leads perfectly to the next, or how a sequence of moments in your life suddenly reveals its hidden direction. Think of a time when you felt this awe at witnessing or discovering such a linearity. What does your reverence for these clear progressions tell you about the kind of understanding you're seeking to cultivate?",linearities,awe,,,
16,investigable_dimensions_x_emotions,"There's a particular shade of envy that arises when witnessing someone navigate complexity with apparent ease - watching them hold multiple contradictions, see nuanced patterns where you see only tangles, or find elegant paths through what feels impenetrable to you. Think of a moment when you've felt this specific envy toward someone's relationship with complexity. What does that longing tell you about the kind of intellectual courage or flexibility you're hungry to develop?",complexities,envy,,,
17,investigable_dimensions_x_emotions,"There's a particular weight that comes with recognizing what someone finds most important - and then feeling pity for those very priorities. Perhaps it's watching someone pour themselves into achievements that seem hollow to you, or seeing them treasure relationships that appear limiting. What does this collision between your pity and their sense of importance reveal about the values you're still discovering in yourself?",importances,pity,,,
18,investigable_dimensions_x_emotions,"There's a peculiar form of boredom that arises not from emptiness, but from recognizing the same patterns everywhere - the way conversations circle back to familiar territories, how conflicts replay with different actors, how your own thoughts seem to trace well-worn grooves. Yet within this recognition of commonalities lies a strange invitation. What if boredom is actually your mind's way of saying it's ready to perceive something deeper than the patterns themselves? Describe a moment when boredom with the familiar opened up an unexpected doorway, and what this suggests about the kinds of connections you're hungry to discover.",commonalities,boredom,,,
19,investigable_dimensions_x_emotions,"There's a particular kind of defensiveness that arises not from weakness, but from sensing the exact places where you're still forming - those tender spots where new growth meets old certainties. When you feel that protective impulse, what if you paused to ask: what is this defensiveness trying to preserve, and what might emerge if you allowed those growing edges to remain just a little more porous?",stresses or strains,defensiveness,,,
20,investigable_dimensions_x_emotions,"There's a particular tension that arises when you're drawn to problems that seem to exist at the edge of what's solvable - not because they're difficult, but because they might require you to become fundamentally different in order to engage with them meaningfully. Think of a problem that creates this kind of tension in you, where the very act of approaching it seems to ask something new of your way of being. What does your relationship with this tension reveal about the kind of problem-solver you're called to become?",problems,tension,,,
21,investigable_dimensions_x_emotions,"The restless energy of impatience often signals that we sense connections our conscious mind hasn't yet mapped - like feeling pulled toward a conversation, idea, or experience before we can articulate why. Think of a recent moment when impatience arose not from frustration, but from this deeper recognition that meaningful associations were trying to form. What was your impatience actually reaching toward, and how might trusting these half-formed connections change the way you engage with your own becoming?",associations,impatience,,,
